model,layer,depth_index,C_in,C_out,k,d,r_max,n_samples,n_over_d,kernel_erank_over_rmax,kernel_cond_top_rmax,data_erank_over_rmax,rank_W,n_null,kappa,ostrowski_ok,bound_0.9,bound_ok_0.9,bound_lo_0.9,bound_lo_ok_0.9,out_0.9,kernel_0.9,data_0.9,ortho_0.9,bound_0.95,bound_ok_0.95,bound_lo_0.95,bound_lo_ok_0.95,out_0.95,kernel_0.95,data_0.95,ortho_0.95,bound_0.99,bound_ok_0.99,bound_lo_0.99,bound_lo_ok_0.99,out_0.99,kernel_0.99,data_0.99,ortho_0.99,bound_0.999,bound_ok_0.999,bound_lo_0.999,bound_lo_ok_0.999,out_0.999,kernel_0.999,data_0.999,ortho_0.999,rho_align,rho_align_sigma
timm:mobilenetv3_large_100.ra_in1k_random,conv_stem,0,3,16,9,27,16,307200,11377.777777777777,0.7487115861430881,5.0354096962173225,0.12300732190443857,16,0,5.0354096962173225,True,0.5,True,0.0625,True,0.125,0.6875,0.125,0.125,0.625,True,0.0625,True,0.1875,0.75,0.25,0.1875,0.8125,True,0.0625,True,0.3125,0.9375,0.4375,0.375,0.9375,True,0.25,True,0.625,1.0,0.8125,0.75,0.30882352941176466,0.1514041514041514
timm:mobilenetv3_large_100.ra_in1k_random,blocks.0.0.conv_pw,1,16,16,1,16,16,307200,19200.0,0.5812553110069619,66.56288580521533,0.20419718551068017,16,0,66.56288580521533,True,1.0,True,0.0625,True,0.1875,0.5,0.25,0.25,1.0,True,0.0625,True,0.25,0.625,0.375,0.375,1.0,True,0.0625,True,0.5,0.75,0.6875,0.6875,1.0,True,0.0625,True,0.75,0.9375,0.9375,0.9375,0.3529411764705882,0.3529411764705882
timm:mobilenetv3_large_100.ra_in1k_random,blocks.1.0.conv_pw,2,16,64,1,16,16,307200,19200.0,0.8820821311089034,2.47315751098337,0.17760257959223344,16,0,2.47315751098337,True,0.5,True,0.0625,True,0.1875,0.8125,0.1875,0.1875,0.6875,True,0.125,True,0.3125,0.875,0.3125,0.3125,0.875,True,0.3125,True,0.5625,1.0,0.625,0.625,1.0,True,0.6875,True,0.875,1.0,0.9375,0.9375,0.15,0.19999999999999998
timm:mobilenetv3_large_100.ra_in1k_random,blocks.1.0.conv_pwl,3,64,24,1,64,24,307200,4800.0,0.8079440424996557,3.881566863774845,0.15351969929366902,24,0,3.881566863774845,True,0.5833333333333334,True,0.041666666666666664,True,0.08333333333333333,0.7083333333333334,0.16666666666666666,0.08333333333333333,0.75,True,0.041666666666666664,True,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.20833333333333334,0.9166666666666666,True,0.08333333333333333,True,0.4166666666666667,0.9583333333333334,0.9166666666666666,0.5,1.0,True,0.4583333333333333,True,0.8333333333333334,1.0,1.0,0.875,0.27304347826086955,-0.13142454231824935
timm:mobilenetv3_large_100.ra_in1k_random,blocks.1.1.conv_pw,4,24,72,1,24,24,307200,12800.0,0.8482939466069909,3.1652880383996975,0.09173040500883038,24,0,3.1652880383996975,True,0.4166666666666667,True,0.041666666666666664,True,0.08333333333333333,0.75,0.08333333333333333,0.08333333333333333,0.5416666666666666,True,0.041666666666666664,True,0.125,0.875,0.16666666666666666,0.16666666666666666,0.8333333333333334,True,0.08333333333333333,True,0.375,0.9583333333333334,0.4166666666666667,0.4166666666666667,1.0,True,0.4166666666666667,True,0.7083333333333334,1.0,0.8333333333333334,0.8333333333333334,0.4513043478260869,0.5008695652173912
timm:mobilenetv3_large_100.ra_in1k_random,blocks.1.1.conv_pwl,5,72,24,1,72,24,307200,4266.666666666667,0.8416288951644747,3.3466434825638665,0.22847879835392593,24,0,3.3466434825638665,True,0.7083333333333334,True,0.041666666666666664,True,0.20833333333333334,0.75,0.3333333333333333,0.25,0.8333333333333334,True,0.08333333333333333,True,0.3333333333333333,0.8333333333333334,0.5416666666666666,0.4166666666666667,0.9583333333333334,True,0.25,True,0.625,0.9583333333333334,1.0,0.7083333333333334,1.0,True,0.7083333333333334,True,0.9166666666666666,1.0,1.0,0.9583333333333334,0.10173913043478258,-0.13967281952585076
timm:mobilenetv3_large_100.ra_in1k_random,blocks.2.0.conv_pw,6,24,72,1,24,24,307200,12800.0,0.8468683189030467,3.539910236538548,0.17599270797788302,24,0,3.539910236538548,True,0.7083333333333334,True,0.041666666666666664,True,0.20833333333333334,0.75,0.20833333333333334,0.20833333333333334,0.8333333333333334,True,0.08333333333333333,True,0.3333333333333333,0.8333333333333334,0.375,0.375,0.9583333333333334,True,0.20833333333333334,True,0.6666666666666666,0.9583333333333334,0.7083333333333334,0.7083333333333334,1.0,True,0.6666666666666666,True,0.9583333333333334,1.0,0.9583333333333334,0.9583333333333334,-0.3947826086956522,-0.33652173913043476
timm:mobilenetv3_large_100.ra_in1k_random,blocks.2.0.conv_pwl,9,72,40,1,72,40,307200,4266.666666666667,0.7419392212118858,6.628393909953135,0.15663168238558375,40,0,6.628393909953135,True,0.775,True,0.025,True,0.125,0.65,0.225,0.175,0.85,True,0.025,True,0.2,0.75,0.375,0.3,0.95,True,0.05,True,0.45,0.925,0.75,0.575,1.0,True,0.325,True,0.775,1.0,1.0,0.875,0.29324577861163226,-0.045506371562709584
timm:mobilenetv3_large_100.ra_in1k_random,blocks.2.1.conv_pw,10,40,120,1,40,40,307200,7680.0,0.8405435002904614,3.6121069080815524,0.09467255181674535,40,0,3.6121069080815524,True,0.475,True,0.025,True,0.1,0.725,0.125,0.125,0.6,True,0.025,True,0.2,0.85,0.2,0.2,0.8,True,0.1,True,0.425,0.95,0.45,0.45,0.975,True,0.425,True,0.725,1.0,0.775,0.775,0.08705440900562854,0.04183864915572233
timm:mobilenetv3_large_100.ra_in1k_random,blocks.2.1.conv_pwl,13,120,40,1,120,40,307200,2560.0,0.8440275363014633,3.5164958407672082,0.13810984514358848,40,0,3.5164958407672082,True,0.6,True,0.025,True,0.175,0.75,0.2,0.175,0.7,True,0.05,True,0.3,0.85,0.375,0.3,0.9,True,0.15,True,0.55,0.975,0.775,0.575,1.0,True,0.525,True,0.85,1.0,1.0,0.875,-0.33939962476547847,-0.09076301057433132
